;index;EngNames;Language;Group;Family;glottocode;dialect;classes;source;source_bibtex;Lat;Lon
420;380;Mikdatl';Avar;Avar;Nakh-Daghestanian;ancu1238;анцухский, анцросунхадинский;3;[Saidova 2008: 23-28];saidova2008;42.309412;46.380732
421;570;Urkhuchimakhi;Dargwa;Dargwa;Nakh-Daghestanian;akus1238;акушинский;3;[Gasanova 1971: 38-40];gasanova1971;42.310271;47.260222
422;588;Verkhnie Mulebki;Dargwa;Dargwa;Nakh-Daghestanian;mugi1235;мугинский;3;[Gasanova 1971: 38-40];gasanova1971;42.31043;47.51924
423;305;Kichi-Gamri;Dargwa;Dargwa;Nakh-Daghestanian;urax1238;урахинский ;3;[Gasanova 1971: 38-40];gasanova1971;42.3125;47.7106
424;370;Mamaaul;Dargwa;Dargwa;Nakh-Daghestanian;urax1238;урахинский ;3;[Abdullaev 1954: 6-9];abdullaev1954;42.31709;47.75237
425;442;Rugel'da;Avar;Avar;Nakh-Daghestanian;kele1253;келебский смешанный говор;3;[Saidova 2008: 23-28];saidova2008;42.3175;46.5244
426;88;Chokh;Avar;Avar;Nakh-Daghestanian;anda1281;андальский, чохский;3;[Saidova 2008: 23-28];saidova2008;42.3206;47.0336
427;566;Urchukh;Avar;Avar;Nakh-Daghestanian;kele1253;келебский смешанный говор;3;[Saidova 2008: 23-28];saidova2008;42.325548;46.495518
428;420;Nizhnie Mulebki;Dargwa;Dargwa;Nakh-Daghestanian;urax1238;урахинский ;3;[Gasanova 1971: 38-40];gasanova1971;42.3281;47.5689
429;561;Unkida;Avar;Avar;Nakh-Daghestanian;anda1281;андальский, ругуджинский;3;[Saidova 2008: 23-28];saidova2008;42.328698;46.885731
430;16;Ameterkmakhi;Dargwa;Dargwa;Nakh-Daghestanian;cuda1238;цудахарский;3;[Abdullaev 1954: 6-9];abdullaev1954;42.33081;47.213539
431;564;Urakhi;Dargwa;Dargwa;Nakh-Daghestanian;urax1238;урахинский ;3;[Abdullaev 1954: 6-9];abdullaev1954;42.3347;47.5953
432;457;Sangimakhi;Dargwa;Dargwa;Nakh-Daghestanian;;мюрего-губденский;3;[Koryakov 2006: 33-36];koryakov2006;42.33788;47.43307
433;536;Tsudakhar;Dargwa;Dargwa;Nakh-Daghestanian;cuda1238;цудахарский;3;[Gasanova 1971: 38-40];gasanova1971;42.3425;47.1606
434;184;Guladtymakhi;Dargwa;Dargwa;Nakh-Daghestanian;sirz1237;сирхинский;3;[Abdullaev 1954: 6-9];abdullaev1954;42.34823;47.23927
435;159;Gerga;Dargwa;Dargwa;Nakh-Daghestanian;urax1238;урахинский ;3;[Gasanova 1971: 38-40];gasanova1971;42.3497;47.9628
436;275;Khopor;Avar;Avar;Nakh-Daghestanian;anda1281;андальский, ругуджинский;3;[Saidova 2008: 23-28];saidova2008;42.352716;46.937396
437;299;Khvarshi;Xvarshi;Tsezic;Nakh-Daghestanian;xvar1237;хваршинский;5;[Bokarev 1959: 143];bokarev1959;42.353471;46.10785900000001
438;236;Karekadani;Dargwa;Dargwa;Nakh-Daghestanian;cuda1238;цудахарский;3;[Gasanova 1971: 38-40];gasanova1971;42.35747;47.13098
439;444;Rugudzha;Avar;Avar;Nakh-Daghestanian;anda1281;андальский, ругуджинский;3;[Saidova 2008: 23-28];saidova2008;42.3606;46.9139
440;322;Kudali;Avar;Avar;Nakh-Daghestanian;anda1281;андальский, салтинский;3;[Saidova 2008: 23-28];saidova2008;42.3678;47.0789
441;589;Verkhnie Ubekimakhi;Dargwa;Dargwa;Nakh-Daghestanian;cuda1238;цудахарский;3;[Abdullaev 1954: 6-9];abdullaev1954;42.36823;47.24298
442;129;Ebdalaya;Dargwa;Dargwa;Nakh-Daghestanian;akus1238;акушинский;3;[Abdullaev 1954: 6-9];abdullaev1954;42.3683;47.3433
443;155;Genta;Avar;Avar;Nakh-Daghestanian;hidd1238;гидский;3;[Alekseev, Ataev 1997: 22-26];alekseevataev1997;42.37001;46.56099
444;434;Ravkvatl';Avar;Avar;Nakh-Daghestanian;hidd1238;гидский;3;[Saidova 2008: 23-28];saidova2008;42.372455;46.579617
445;556;Ulluaya;Dargwa;Dargwa;Nakh-Daghestanian;akus1238;акушинский;3;[Abdullaev 1954: 6-9];abdullaev1954;42.3747;47.3756
446;242;Keger;Avar;Avar;Nakh-Daghestanian;anda1281;андальский, кегерский;3;[Saidova 2008: 23-28];saidova2008;42.3767;47.0275
447;363;Machada;Avar;Avar;Nakh-Daghestanian;hidd1238;гидский;3;[Alekseev, Ataev 1997: 22-26];alekseevataev1997;42.37839;46.53725
448;410;Naskent;Dargwa;Dargwa;Nakh-Daghestanian;akus1238;акушинский;3;[Abdullaev 1954: 6-9];abdullaev1954;42.38093;47.33624
449;562;Urada;Avar;Avar;Nakh-Daghestanian;hidd1238;гидский;3;[Saidova 2008: 23-28];saidova2008;42.3822;46.5617
450;459;Santlada;Inkhoqwari;Tsezic;Nakh-Daghestanian;inxo1238;инхокаринский;5;[Khalilova 2009: 1];khalilova2009;42.38431;46.07505
451;187;Gunib;Avar;Avar;Nakh-Daghestanian;batl1238;батлухский;3;[Saidova 2008: 23-28];saidova2008;42.388232;46.962258
